publication_id,study_id,es_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,wansink
111,184,238,Loeb et al. (2017),The application of defaults to optimize parents' health-based choices for children,2017,1,health,structure,default,framed_field,1,58,58,22,36,1,0.272727273,NA,0.916666667,NA,1.457,0.0915,1,0
199,308,412,Wansink & Kim (2005),Bad popcorn in big buckets: Portion size can influence intake as much as taste,2005,1,food,structure,default,framed_field,1,78,78,38,40,0,58.9,16.7,85.6,19.8,1.4545,0.0649,0,1
202,315,419,Wansink et al. (2014),"Larger bowl size increases the amount of cereal children request, consume, and waste",2014,1,food,structure,default,framed_field,0,69,69,35,34,0,46.1,15.1,24.7,14.9,1.4265,0.0727,1,1
56,94,125,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,0,environment,structure,default,natural_field,1,41952,41952,20976,20976,1,0.072,NA,0.691,NA,1.4194,0.0001,1,0
143,227,306,Privitera & Zuraikat (2014),Proximity of foods in a competitive food environment influences consumption of a low calorie and a high calorie food,2014,1,food,structure,effort,conventional_lab,1,56,38,21,17,0,9.5,7,2,1.6,1.4083,0.1325,0,0
143,227,307,Privitera & Zuraikat (2014),Proximity of foods in a competitive food environment influences consumption of a low calorie and a high calorie food,2014,1,food,structure,effort,conventional_lab,1,56,39,21,18,0,30,22.6,6.2,5.2,1.4012,0.1283,0,0
204,319,426,"Wansink, Cardello et al. (2005)",Fluid consumption and the potential role of canteen shape in minimizing dehydration,2005,1,food,structure,default,conventional_lab,1,50,50,25,25,0,16.64,5.12,23.02,3.91,1.4005,0.0996,0,1
56,95,126,Ebeling & Lotz (2015),Domestic uptake of green energy promoted by opt-out tariffs,2015,1,environment,structure,default,artefactual_field,1,290,290,145,145,1,0.3416,NA,0.938,NA,1.3899,0.0171,1,0
59,101,133,Everett et al. (2015),Doing good by doing nothing? The role of social norms in explaining default effects in altruistic context,2015,1,pro-social,structure,default,artefactual_field,1,143,143,72,71,1,0.19,NA,0.81,NA,1.3375,0.0342,1,0
183,290,386,Taylor et al. (2015),Improving social norms interventions: Rank-framing increases excessive alcohol drinkers' information-seeking,2015,0,health,information,social_reference,conventional_lab,1,58,41,21,20,1,0.048,NA,0.6,NA,1.3304,0.1192,0,0
98,166,217,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,1,environment,structure,default,artefactual_field,1,76,52,20,32,0,29,17.6,54,20,1.3073,0.0977,0,0
103,173,226,Kuester et al. (2015),The role of defaults in preventing innovation rejection,2015,0,environment,structure,default,artefactual_field,1,240,240,120,120,1,0.317,NA,0.9,NA,1.302,0.0202,0,0
99,167,219,Knowles et al. (2019),Exploring the underpinning mechanisms of the proximity effect within a competitive food environment,2019,0,food,structure,effort,conventional_lab,1,25,25,13,12,0,11.26,17.72,62.83,54.24,1.3012,0.1941,0,0
8,8,11,Bachman & Katzev (1982),The effects of non-contingent free bus tickets and personal commitment on urban bus ridership,1982,1,environment,assistance,commitment,framed_field,1,37,37,20,17,1,0.05,NA,0.59,NA,1.2972,0.1316,0,0
57,96,127,Engell et al. (1996),Effects of effort and social modeling on drinking in humans,1996,1,food,structure,effort,framed_field,1,36,24,12,12,0,444,259,186.7,115.2,1.2837,0.201,1,0
57,96,128,Engell et al. (1996),Effects of effort and social modeling on drinking in humans,1996,1,food,structure,effort,framed_field,1,36,24,12,12,0,444,259,197.1,100.2,1.2573,0.1996,1,0
176,275,369,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,779,779,390,389,0,4.49,3.14,8.76,3.79,1.2271,0.0061,1,0
92,153,202,Johnson et al. (2002),"Defaults, framing and privacy: Why opting in-opting out",2002,1,other,structure,default,artefactual_field,1,138,138,69,69,1,0.482,NA,0.963,NA,1.2197,0.0344,1,0
204,319,427,"Wansink, Cardello et al. (2005)",Fluid consumption and the potential role of canteen shape in minimizing dehydration,2005,1,food,structure,default,conventional_lab,1,50,50,25,25,0,16.33,4.3,21.81,4.85,1.1957,0.0943,0,1
16,28,32,Bergeron et al. (2019),Using insights from behavioral economics to nudge individuals towards healthier choices when eating out: A restaurant experiment,2019,0,food,structure,default,framed_field,1,98,98,48,50,1,0.31,NA,0.86,NA,1.1936,0.0481,0,0
182,289,385,Tavernier & Adam (2017),Text message intervention improves objective sleep hours among adolescents: The moderating role of race-ethnicity,2017,1,health,assistance,reminder,framed_field,0,20,20,10,10,0,6.68,1.2,7.8,0.59,1.1845,0.2351,1,0
195,304,407,"Van Kleef, Shimizu et al. (2012)",Serving bowl selection biases the amount of food served,2012,1,food,structure,default,conventional_lab,1,67,67,37,30,0,301.3,129.6,176.7,72.8,1.1536,0.0703,0,1
25,41,58,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,61,61,30,31,1,0.53,NA,0.06,NA,1.1359,0.0762,0,0
95,158,207,Keller et al. (2011),Enhanced active choice: A new method to motivate behavior change,2011,1,health,structure,default,artefactual_field,1,110,55,28,27,1,0.45,NA,0.93,NA,1.1354,0.0845,1,0
203,317,421,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,1,food,structure,composition,artefactual_field,1,107,73,36,37,0,5.61,3.99,12.51,7.64,1.1276,0.0635,0,1
147,233,314,Raynor & Wing (2007),Package unit size and amount of food: Do both influence intake?,2007,1,food,structure,default,conventional_lab,1,28,28,14,14,0,2782.2,1174.5,5028.1,2596.1,1.1147,0.165,0,0
88,143,192,Isaksen et al. (2019),Positive framing does not solve the tragedy of the commons,2019,0,pro-social,information,translation,conventional_lab,1,108,108,52,56,0,0.26,0.1,0.46,0.23,1.1135,0.0428,0,0
116,192,255,Marchiori et al. (2012),Container size influences snack food intake independently of portion size,2012,0,food,structure,default,conventional_lab,1,59,59,30,29,0,30.4,29.0293,69.5,43.08132,1.0609,0.0774,0,0
4,4,6,Ansher et al. (2014),Better medicine by default,2014,1,health,structure,default,artefactual_field,1,45,45,21,24,0,NA,NA,NA,NA,1.0553,0.1017,1,0
101,170,223,Kressel & Chapman (2007),The default effect in the end-of-life medical treatment preferences,2007,1,health,structure,default,conventional_lab,1,51,51,25,26,0,NA,NA,NA,NA,1.033,0.0889,0,0
141,223,302,Pichert & Katsikopoulos (2008),Green defaults: Information presentation and pro-environmental behaviour,2008,0,environment,structure,default,conventional_lab,1,65,65,41,24,0,6.59,5.53,13,7.34,1.0253,0.0741,0,0
8,9,12,Bachman & Katzev (1982),The effects of non-contingent free bus tickets and personal commitment on urban bus ridership,1982,1,environment,assistance,commitment,framed_field,1,38,38,21,17,1,0.43,NA,0.88,NA,1.0139,0.12,0,0
176,276,370,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,681,681,341,340,0,4.57,3.03,8.13,3.95,1.0115,0.0066,1,0
68,117,151,Goldstein et al. (2011),Reciprocity by proxy: A novel influence strategy for stimulating cooperation,2011,1,pro-social,structure,consequence,artefactual_field,1,79,79,40,39,1,0.211,NA,0.683,NA,0.991,0.0569,1,0
4,4,7,Ansher et al. (2014),Better medicine by default,2014,1,health,structure,default,artefactual_field,1,45,45,24,21,0,NA,NA,NA,NA,0.9833,0.1,0,0
198,307,410,Wansink & Hanks (2013),Slim by design: Serving healthy foods first in buffet lines improves overall meal selection,2013,1,food,structure,effort,natural_field,1,124,124,65,59,1,0.754,NA,0.288,NA,0.9707,0.0361,0,1
16,29,33,Bergeron et al. (2019),Using insights from behavioral economics to nudge individuals towards healthier choices when eating out: A restaurant experiment,2019,0,food,structure,default,framed_field,1,99,99,51,48,1,0.33,NA,0.79,NA,0.9656,0.0452,0,0
192,300,402,Van der Zanden et al. (2015),Using a verbal prompt to increase protein consumption in a hospital setting: A field study,2015,0,food,assistance,reminder,natural_field,1,155,155,93,62,1,0.065,NA,0.452,NA,0.9591,0.0298,0,0
132,211,284,Neale & Bazerman (1985),The effects of framing and negotiators overconfidence on bargaining behaviors and outcomes,1985,1,other,information,translation,conventional_lab,1,100,100,50,50,0,1.1,1.7,-1,2.6,0.956,0.0446,1,0
73,125,161,Goswami & Urminsky (2016),When should the ask be a nudge? The effect of default amounts on charitable donations,2016,1,pro-social,structure,default,artefactual_field,1,76,38,24,14,1,0.54,NA,0.93,NA,0.9552,0.1251,0,0
162,251,339,Schwartz (2007),The influence of a verbal prompt on school lunch fruit consumption: A pilot study,2007,1,food,assistance,reminder,natural_field,0,325,325,176,149,1,0.65,NA,0.97,NA,0.9179,0.0137,1,0
187,294,393,Trevana et al. (2006),Impact of privacy legislation on the number and characteristics of people who are recruited for a research: A randomized controlled trial,2006,0,other,structure,default,natural_field,1,152,152,92,60,1,0.5109,NA,0.9,NA,0.9056,0.0302,0,0
166,260,350,Shealy & Klotz (2015),Well-endowed rating systems: How modified defaults can lead to more sustainable performance,2015,1,environment,structure,default,conventional_lab,1,41,41,25,16,0,44.68,19.8,62.39,19.36,0.9021,0.1124,0,0
176,277,371,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,390,390,195,195,0,4.08,2.46,6.8,3.5,0.8992,0.0113,1,0
180,283,377,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,other,structure,composition,artefactual_field,1,198,198,99,99,1,0.43,NA,0.84,NA,0.8882,0.0222,1,0
208,326,434,Young et al. (2009),Opt-out testing for stigmatized diseases: A social psychological approach to understanding the potential effect of recommendations for routine HIV testing,2009,1,health,structure,default,conventional_lab,1,38,38,19,19,1,0.455,NA,0.857,NA,0.8853,0.1156,1,0
205,320,428,"Wansink, Painter et al. (2005)",Bottomless bowls: Why visual cues of portion size may influence intake,2005,1,food,structure,default,conventional_lab,1,54,54,23,31,0,14.7,8.4,8.5,6.1,0.8655,0.0827,0,1
81,136,179,Haward et al. (2012),Default options and neonatal resuscitation decisions,2012,1,health,structure,default,artefactual_field,1,291,291,147,144,1,0.39,NA,0.8,NA,0.8653,0.015,0,0
176,278,372,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,framed_field,1,429,429,215,214,0,7.03,3.78,9.56,1.71,0.8617,0.0102,1,0
90,150,199,Johnson & Goldstein (2003),Do defaults save lives?,2003,1,pro-social,structure,default,artefactual_field,1,108,108,54,54,1,0.42,NA,0.82,NA,0.8552,0.0404,1,0
157,245,332,Samek et al. (2016),An experimental study of the decision process with interactive technology,2016,1,other,structure,effort,conventional_lab,1,80,80,40,40,0,4.63,0.2529822,4.82,0.1897367,0.8497,0.0545,1,0
199,309,413,Wansink & Kim (2005),Bad popcorn in big buckets: Portion size can influence intake as much as taste,2005,1,food,structure,default,framed_field,1,79,79,39,40,0,38,16.1,50.8,14.1,0.8466,0.0552,0,1
203,316,422,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,0,food,structure,composition,framed_field,1,86,60,34,26,0,11.61,3.64,14.97,4.42,0.8411,0.0738,0,1
89,146,195,Jin (2011),Improving response rates in web surveys with default setting: The effects of default on web survey participation and permission,2011,1,other,structure,default,framed_field,1,197,197,95,102,1,0.421,NA,0.814,NA,0.8376,0.0221,0,0
53,85,116,Dinner et al. (2011),Partitioning default effects: Why people choose not to choose,2011,1,environment,structure,default,artefactual_field,1,126,126,63,63,1,0.19,NA,0.58,NA,0.8294,0.0345,1,0
180,284,378,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,food,structure,composition,artefactual_field,1,302,302,151,151,1,0.3995,NA,0.793,NA,0.8285,0.0144,1,0
68,118,152,Goldstein et al. (2011),Reciprocity by proxy: A novel influence strategy for stimulating cooperation,2011,1,pro-social,structure,consequence,conventional_lab,1,45,45,15,30,1,0.474,NA,0.846,NA,0.8163,0.1074,1,0
106,178,231,Larrick & Soll (2008),The MPG illusion,2008,1,environment,information,translation,artefactual_field,1,171,171,78,93,1,0.25,NA,0.64,NA,0.8074,0.0255,0,0
68,119,153,Goldstein et al. (2011),Reciprocity by proxy: A novel influence strategy for stimulating cooperation,2011,1,pro-social,structure,consequence,artefactual_field,1,22,22,11,11,1,0.444,NA,0.818,NA,0.8015,0.1964,1,0
114,188,243,Maas et al. (2011),Do distant foods decrease intake? The effect of food accessibility on consumption,2011,0,food,structure,effort,conventional_lab,1,77,49,23,26,0,10.3,10.16,3.77,6.02,0.7942,0.0884,0,0
180,285,379,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,other,structure,composition,artefactual_field,1,299,299,150,149,1,0.417,NA,0.78225,NA,0.7666,0.0144,1,0
120,196,261,McCalley & Midden (2002),Energy conservation through product-integrated feedback: The roles of goal-setting and social orientation,2002,0,environment,assistance,commitment,artefactual_field,1,75,50,25,25,0,NA,NA,NA,NA,0.7586,0.0858,0,0
167,261,351,Shealy et al. (2016),Using framing effects to inform more sustainable infrastructure design decisions,2016,1,environment,structure,default,artefactual_field,1,65,65,33,32,0,81,40.1,112,42.6,0.7497,0.0659,0,0
25,42,59,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,61,61,30,31,1,0.5,NA,0.16,NA,0.7478,0.0702,0,0
98,166,218,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,1,environment,structure,default,artefactual_field,1,76,56,24,32,0,40,16.9,54,20,0.747,0.0779,0,0
154,241,328,Rothman et al. (1999),The systematic influence of gain- and loss-framed messages on interest in and use of different types of health behavior,1999,1,health,information,translation,conventional_lab,1,60,60,30,30,1,0.37,NA,0.73,NA,0.741,0.0712,1,0
198,307,411,Wansink & Hanks (2013),Slim by design: Serving healthy foods first in buffet lines improves overall meal selection,2013,1,food,structure,effort,natural_field,1,124,124,65,59,1,0.538,NA,0.864,NA,0.7393,0.0345,0,1
25,43,60,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,49,49,20,29,1,0.35,NA,0.07,NA,0.7306,0.0899,0,0
207,322,430,Yeomans & Herberich (2014),An experimental test of the effect of negative social norms on energy-efficient investments,2014,1,environment,information,social_reference,framed_field,1,77,77,43,34,1,0.326,NA,0.676,NA,0.7151,0.056,0,0
40,70,91,Catlin & Wang (2013),Recycling gone bad: When the option to recycle increases resource consumption,2013,1,environment,structure,consequence,conventional_lab,1,43,43,22,21,0,9.45,NA,27.9,NA,0.7139,0.099,1,0
153,240,327,Rosenkranz et al. (2017),Using behavioral insights to make firms more energy efficient: A field experiment on the effects of improved information,2017,0,environment,structure,effort,natural_field,1,339,339,170,169,1,0.14,NA,0.46,NA,0.7115,0.0125,0,0
78,133,176,Halpern et al. (2013),Default options in advance directives influence how patients set goals for end-of-life care,2013,1,health,structure,default,framed_field,1,89,89,49,40,1,0.43,NA,0.77,NA,0.7109,0.0482,0,0
200,312,416,Wansink & van Ittersum (2003),Bottoms up! The influence of elongation on pouring and consumption volume,2003,1,food,structure,default,natural_field,1,89,89,45,44,0,5.75,NA,6.88,NA,0.7038,0.0477,1,1
92,154,203,Johnson et al. (2002),"Defaults, framing and privacy: Why opting in-opting out",2002,1,other,structure,default,artefactual_field,1,78,78,39,39,1,0.599,NA,0.892,NA,0.7018,0.0544,1,0
180,286,380,Tannenbaum et al. (2013),Partitioning menu items to nudge single-item choice,2013,1,food,structure,composition,artefactual_field,1,154,154,77,77,1,0.39575,NA,0.736,NA,0.7016,0.0276,1,0
15,19,23,Basu & Savani (2017),Choosing one at a time? Presenting options simultaneously helps people make more optimal decisions than presenting options sequentially,2017,0,finance,structure,composition,conventional_lab,1,89,89,45,44,0,44,NA,68.18,NA,0.7003,0.0477,1,0
193,301,403,Van Kleef et al. (2012),Healthy snacks at the checkout counter: A lab and field study on the impact of shelf arrangement and assortment structure on consumer choice,2012,0,food,structure,composition,conventional_lab,1,158,158,79,79,1,0.139,NA,0.443,NA,0.6924,0.0268,0,0
5,5,8,Antonuk & Block (2006),The effect of single serving versus entire package nutritional information on consumption norms and actual consumption of a snack food,2006,1,food,information,translation,conventional_lab,1,67,67,30,37,0,33.03,17.72,20.81,17.71,0.6898,0.0639,0,0
92,155,204,Johnson et al. (2002),"Defaults, framing and privacy: Why opting in-opting out",2002,1,other,structure,default,artefactual_field,1,78,78,39,39,1,0.442,NA,0.769,NA,0.6843,0.0543,1,0
177,280,374,Stephen & Lehmann (2016),"How word-of-mouth transmission encouragement affects consumers' transmission decisions, receiver selection, and diffusion speed",2016,1,finance,assistance,reminder,conventional_lab,1,60,60,30,30,0,3.21,NA,3.84,NA,0.6836,0.0706,1,0
152,239,325,Rohlfs Dominguez et al. (2013),Providing choice increases children's vegetable intake,2013,0,food,structure,composition,framed_field,0,150,94,44,50,0,22.36,24.681,47.86,46.597,0.6717,0.0451,0,0
58,98,130,Evans et al. (2011),Trust and self-control: The moderating role of the default,2011,1,finance,structure,default,conventional_lab,1,62,62,31,31,0,8.1,6.03,12.26,6.42,0.6679,0.0681,0,0
201,313,417,Wansink et al. (2006),"Ice cream illusions: Bowls, spoons, and self-served portion sizes",2006,1,food,structure,default,framed_field,1,37,37,17,20,0,5.81,2.26,4.38,2.05,0.6656,0.1148,0,1
30,50,68,Bucher et al. (2013),Vegetable variety: An effective strategy to increase vegetable choice in children,2013,0,food,structure,composition,artefactual_field,0,100,68,34,34,0,5.6,6.3,10.9,9.5,0.6575,0.062,0,0
64,110,142,Ganzach & Karsahi (1995),Message framing and buying behavior: A field experiment,1995,0,finance,information,translation,natural_field,1,117,117,55,62,1,0.236,NA,0.548,NA,0.6524,0.0361,0,0
117,193,256,Marek (2018),Social learning under the labeling effect: Exploring travellers' behavior in social dilemmas,2018,0,environment,structure,composition,conventional_lab,1,120,120,60,60,0,10.27667,2.236351,11.76502,2.350689,0.6487,0.0351,0,0
201,314,418,Wansink et al. (2006),"Ice cream illusions: Bowls, spoons, and self-served portion sizes",2006,1,food,structure,default,framed_field,1,48,48,22,26,0,6.58,2.91,5.07,1.84,0.6321,0.0881,0,1
79,134,177,Handgraaf et al. (2013),Public praise vs. private pay: Effects of rewards on energy conservation in the workplace,2013,0,environment,information,visibility,framed_field,1,32,32,16,16,0,0.43,4.27,3.74,6.05,0.6321,0.1312,0,0
91,151,200,Johnson et al. (1993),"Framing, probability distortions, and insurance decisions",1993,1,finance,structure,default,artefactual_field,1,136,136,74,62,1,0.23,NA,0.53,NA,0.6305,0.0311,0,0
159,247,334,Saulais et al. (2016),"When are ""Dish of the Day"" nudges most effective to increase vegetable selection?",2016,0,food,assistance,reminder,framed_field,1,120,120,60,60,1,0.233,NA,0.533,NA,0.6294,0.035,0,0
209,327,435,Zarghamee et al. (2017),Nudging charitable giving: Three field experiments,2017,1,pro-social,structure,default,framed_field,1,187,187,69,118,0,0.51,0.41,0.76,0.39,0.629,0.024,0,0
28,48,65,Brook & Servatka (2016),The anticipatory effect of nonverbal communication,2016,0,pro-social,information,visibility,conventional_lab,1,94,62,30,32,0,2.67,2.15,4.09,2.37,0.6266,0.0677,0,0
63,109,141,Frydman & Rangel (2014),Debiasing the disposition effect by reducing the saliency of information about a stock's purchase price,2014,1,finance,information,visibility,conventional_lab,1,58,58,33,25,0,6.8,NA,-9,NA,0.6247,0.0737,0,0
30,50,69,Bucher et al. (2013),Vegetable variety: An effective strategy to increase vegetable choice in children,2013,0,food,structure,composition,artefactual_field,0,100,66,32,34,0,5.9,6.5,10.9,9.5,0.6108,0.0635,0,0
126,204,274,Meyerowitz & Chaiken (1987),"The effect of message framing on breast self-examination, attitudes, intentions, and behavior",1987,1,health,information,translation,conventional_lab,1,44,44,21,23,0,NA,NA,NA,NA,0.6091,0.0953,1,0
96,163,214,Kersbergen et al. (2018),Reducing the standard serving size of alcoholic beverages prompts reductions in alcohol consumption,2018,0,food,structure,default,framed_field,1,164,164,77,87,0,2.93,2.193741,1.7,1.865476,0.6071,0.0256,0,0
132,211,285,Neale & Bazerman (1985),The effects of framing and negotiators overconfidence on bargaining behaviors and outcomes,1985,1,other,information,translation,conventional_lab,1,100,100,50,50,0,0.786,2.3,-0.755,2.8,0.6014,0.0418,1,0
120,196,262,McCalley & Midden (2002),Energy conservation through product-integrated feedback: The roles of goal-setting and social orientation,2002,0,environment,assistance,commitment,artefactual_field,1,75,50,25,25,0,NA,NA,NA,NA,0.5971,0.0836,0,0
171,265,355,Small & Loewenstein (2003),Helping a victim or helping the victim: Altruism and identifiability,2003,1,pro-social,information,visibility,conventional_lab,1,76,76,37,39,0,2.12,1.79,3.42,2.51,0.5937,0.055,0,0
24,37,54,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,0,pro-social,information,translation,conventional_lab,1,160,160,80,80,0,6.63,4.69,9.63,5.4,0.5932,0.0261,1,0
128,206,277,Miller et al. (2016),The effects of pre-ordering and behavioral nudges on national school lunch program participants' food item selection,2016,1,food,assistance,commitment,framed_field,0,133,133,98,35,1,0.601,NA,0.855,NA,0.5861,0.0401,0,0
54,88,119,Dogruel et al. (2017),The valuation of privacy premium features for smartphone apps: The influence of defaults and expert recommendations,2017,1,other,structure,default,artefactual_field,1,126,126,62,64,0,1.6,1.44,2.4,1.3,0.5837,0.0331,0,0
203,317,423,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,1,food,structure,composition,artefactual_field,1,107,70,36,34,0,5.61,3.99,8.26,5.23,0.5719,0.0595,0,1
89,147,196,Jin (2011),Improving response rates in web surveys with default setting: The effects of default on web survey participation and permission,2011,1,other,structure,default,framed_field,1,124,124,62,62,1,0.354,NA,0.636,NA,0.5718,0.0336,1,0
152,239,326,Rohlfs Dominguez et al. (2013),Providing choice increases children's vegetable intake,2013,0,food,structure,composition,framed_field,0,150,100,44,56,0,22.36,24.681,43.25,44.578,0.5618,0.0422,0,0
65,112,144,Gartner (2018),The prosociality of intuitive decision depends on the status quo,2018,1,pro-social,structure,default,artefactual_field,1,405,405,269,136,1,0.4981,NA,0.7647,NA,0.5617,0.0115,0,0
26,44,61,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,0,environment,structure,default,artefactual_field,1,945,945,473,472,1,0.47,NA,0.74,NA,0.5607,0.0044,1,0
54,89,120,Dogruel et al. (2017),The valuation of privacy premium features for smartphone apps: The influence of defaults and expert recommendations,2017,1,other,structure,default,artefactual_field,1,116,116,63,53,0,1.89,1.37,2.64,1.3,0.5603,0.0361,0,0
57,97,129,Engell et al. (1996),Effects of effort and social modeling on drinking in humans,1996,1,food,structure,effort,framed_field,1,60,60,30,30,0,307,149,226,142,0.5565,0.0692,1,0
95,162,213,Keller et al. (2015),Nudging product choices: The effect of position change on snack bar choice,2015,0,food,structure,effort,conventional_lab,1,120,120,60,60,1,0.133,NA,0.367,NA,0.555,0.0346,0,0
104,175,228,Kulendran et al. (2016),The use of commitment techniques to support weight loss maintenance in obese adolescents,2016,0,health,assistance,commitment,framed_field,0,27,27,13,14,0,1.06,2.343608,-0.12,1.945662,0.5499,0.154,0,0
